Tema,Nombre,Horas,Victor Manion,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime Lopez,Jorge Rodriguez,Jose Aguilera,Luis Guadarrama,Pedro Hernandez,Maria Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Agentes inteligentes,8,,,X,X,,,,,,,,,,,,
2,Toma de decisiones multiagentes,12,,,X,X,,,,,,,,,,,,
3,Introducción a las gráficas computacionales y bibliotecas gráficas,12,,,,,,,,,,X,,,,,X,
4,Introducción al uso de bibliotecas gráficas,12,,,,,,,,,,X,,,,,X,
5,Fundamentos matemáticos,12,,,,,,,,,,X,,,,,X,
6,Simulación y proceso del dibujo (pipeline clásico),12,,,,,,,,,,X,,,,,X,
7,Programación avanzada en el GPU,12,,,,,,,,,,,,,,,,X
,,80,,,,,,,,,,,,,,,,
